Coche,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Toyota - Corolla,0.19/1378,0.23/1748,0.18/1713,0.28/1541,0.2/1108,0.15/1454,0.23/1904,0.14/1586,0.29/1979,0.2/1552,0.21/1804,0.24/1309,0.27/1981,0.25/1388,0.23/1822,0.1/1640,0.23/1126,0.15/1153,0.27/1695,0.22/1521,0.27/1582,0.3/1321,0.13/1026,0.25/1880,0.25/1739
Toyota - Camry,0.26/1761,0.23/1455,0.28/1605,0.29/1208,0.2/1914,0.12/1538,0.27/1881,0.18/1108,0.21/1670,0.24/1164,0.23/1429,0.23/1440,0.27/1535,0.16/1266,0.12/1982,0.21/1354,0.29/1966,0.17/1701,0.19/1450,0.12/1988,0.22/1285,0.29/1708,0.19/1759,0.28/1001,0.22/1109
Toyota - RAV4,0.3/1679,0.28/1481,0.23/1607,0.12/1479,0.24/1807,0.15/1316,0.11/1986,0.26/1005,0.28/1699,0.27/1767,0.13/1521,0.17/1922,0.19/1035,0.16/1283,0.28/1961,0.22/1479,0.24/1375,0.26/1439,0.14/1784,0.13/1601,0.2/1799,0.21/1865,0.24/1551,0.1/1200,0.19/1271
Toyota - Prius,0.25/1714,0.23/1691,0.18/1259,0.25/1202,0.2/1050,0.15/1445,0.14/1780,0.28/1457,0.24/1895,0.15/1590,0.29/1458,0.21/1113,0.11/1260,0.29/1232,0.26/1713,0.18/1692,0.14/1380,0.3/1751,0.11/1087,0.27/1075,0.14/1058,0.28/1137,0.23/1897,0.24/1090,0.29/1529
Honda - Civic,0.11/1536,0.19/1150,0.23/1253,0.12/1645,0.15/1124,0.19/1883,0.24/1050,0.12/1591,0.19/1012,0.13/1715,0.27/1745,0.15/1594,0.24/1254,0.22/1001,0.23/1974,0.29/1447,0.15/1098,0.1/1094,0.14/1878,0.25/1228,0.26/1477,0.18/1653,0.22/1500,0.22/1325,0.21/1236
Honda - Accord,0.19/1990,0.11/1354,0.25/1235,0.22/1573,0.3/1176,0.14/1784,0.16/1144,0.24/1709,0.16/1726,0.2/1166,0.15/1803,0.25/1505,0.15/1276,0.24/1878,0.29/1995,0.22/1959,0.2/1316,0.15/1872,0.25/1145,0.21/1599,0.29/1693,0.14/1663,0.3/1069,0.2/1111,0.26/1144
Honda - CR-V,0.17/1586,0.17/1601,0.29/1355,0.16/1201,0.14/1439,0.13/1752,0.17/1280,0.21/1245,0.21/1406,0.17/1846,0.1/1034,0.2/1374,0.3/1326,0.28/1245,0.18/1786,0.18/1663,0.16/1504,0.25/1919,0.29/1919,0.26/1749,0.17/1655,0.26/1223,0.23/1900,0.15/1642,0.18/1689
Honda - Pilot,0.13/1345,0.24/1877,0.26/1670,0.22/1501,0.29/1352,0.21/1383,0.16/1622,0.13/1482,0.19/1837,0.24/1434,0.2/1937,0.13/1149,0.1/1353,0.23/1042,0.24/1607,0.1/1633,0.12/1856,0.25/1654,0.18/1453,0.22/1976,0.11/1990,0.22/1864,0.29/1952,0.25/1907,0.19/1131
Ford - F-150,0.21/1423,0.19/1232,0.19/1113,0.22/1100,0.17/1324,0.14/1263,0.17/1833,0.11/1556,0.24/1817,0.16/1609,0.25/1058,0.17/1945,0.16/1559,0.11/1442,0.21/1129,0.2/1605,0.21/1907,0.15/1855,0.16/1313,0.15/1721,0.11/1445,0.13/1404,0.23/1240,0.11/1345,0.28/1013
Ford - Mustang,0.18/1225,0.16/1144,0.16/1404,0.12/1049,0.27/1847,0.27/1798,0.17/1200,0.14/1528,0.21/1764,0.19/1095,0.28/1768,0.13/1728,0.19/1016,0.23/1047,0.25/1636,0.28/1109,0.15/1869,0.18/1984,0.12/1531,0.25/1741,0.11/1782,0.21/1378,0.24/1025,0.27/1182,0.28/1819
Ford - Escape,0.29/1996,0.15/1318,0.12/1210,0.28/1327,0.19/1641,0.22/1135,0.12/1610,0.18/1063,0.19/1706,0.13/1325,0.28/1053,0.25/1796,0.24/1904,0.13/1350,0.3/1481,0.22/1287,0.23/1799,0.15/1095,0.23/1677,0.24/1626,0.18/1629,0.22/1830,0.27/1784,0.29/1828,0.19/1271
Ford - Explorer,0.13/1185,0.23/1148,0.25/1298,0.2/1340,0.17/1647,0.16/1879,0.18/1079,0.24/1587,0.11/1805,0.15/1756,0.1/1359,0.13/1026,0.21/1813,0.25/1119,0.2/1568,0.28/1287,0.2/1809,0.15/1773,0.29/1237,0.16/1099,0.2/1524,0.13/1297,0.21/1538,0.18/1020,0.19/1851
Chevrolet - Silverado,0.12/1385,0.19/1836,0.24/1229,0.16/1448,0.18/1498,0.26/1097,0.15/1086,0.12/1424,0.26/1872,0.21/1640,0.14/1916,0.25/1464,0.23/1851,0.21/1079,0.12/1452,0.13/1187,0.19/1349,0.28/1108,0.24/1864,0.16/1699,0.18/1792,0.28/1959,0.13/1231,0.13/1875,0.25/1835
Chevrolet - Equinox,0.3/1692,0.24/1456,0.28/1367,0.1/1878,0.18/1789,0.11/1388,0.16/1414,0.14/1465,0.21/1978,0.11/1861,0.13/1924,0.15/1197,0.27/1137,0.3/1520,0.3/1412,0.27/1475,0.13/1207,0.26/1127,0.16/1237,0.17/1019,0.15/1373,0.17/1796,0.28/1077,0.15/1752,0.16/1167
Chevrolet - Cruze,0.26/1386,0.24/1685,0.12/1415,0.28/1398,0.12/1013,0.1/1510,0.23/1680,0.28/1956,0.29/1647,0.21/1474,0.13/1357,0.2/1156,0.1/1426,0.16/1171,0.25/1970,0.23/1246,0.27/1490,0.16/1757,0.15/1848,0.18/1610,0.27/1534,0.27/1505,0.22/1387,0.25/1255,0.1/1356
Chevrolet - Malibu,0.26/1590,0.27/1347,0.27/1024,0.2/1150,0.18/1501,0.19/1874,0.11/1221,0.17/1461,0.18/1267,0.12/1078,0.19/1527,0.13/1708,0.16/1905,0.23/1838,0.22/1714,0.18/1244,0.2/1722,0.14/1050,0.21/1691,0.14/1822,0.15/1073,0.22/1305,0.23/1072,0.24/1481,0.19/1301
Volkswagen - Golf,0.14/1019,0.17/1974,0.29/1790,0.21/1823,0.16/1933,0.18/1668,0.27/1591,0.21/1465,0.27/1728,0.29/1306,0.16/1160,0.1/1167,0.2/1977,0.27/1544,0.21/1732,0.12/1321,0.3/1918,0.27/1733,0.26/1049,0.27/1674,0.12/1447,0.21/1368,0.25/1701,0.12/1987,0.25/1704
Volkswagen - Passat,0.15/1226,0.27/1560,0.1/1001,0.16/1001,0.22/1750,0.12/1950,0.23/1935,0.17/1285,0.18/1465,0.25/1237,0.14/1429,0.11/1813,0.15/1744,0.16/1566,0.15/1082,0.11/1171,0.15/1432,0.21/1593,0.1/1030,0.11/1944,0.11/1870,0.17/1771,0.14/1927,0.15/1250,0.12/1279
Volkswagen - Jetta,0.26/1597,0.26/1725,0.2/1983,0.22/1652,0.14/1554,0.28/1088,0.16/1648,0.27/1556,0.17/1780,0.27/1577,0.18/1874,0.21/1890,0.2/1309,0.17/1323,0.15/1499,0.28/1424,0.27/1214,0.2/1254,0.28/1851,0.11/1144,0.23/1699,0.2/1569,0.22/1916,0.24/1244,0.16/1705
Volkswagen - Tiguan,0.13/1491,0.3/1310,0.27/1376,0.13/1974,0.19/1965,0.22/1874,0.18/1243,0.21/1115,0.1/1563,0.16/1457,0.27/1094,0.16/1715,0.11/1126,0.2/1081,0.24/1700,0.19/1823,0.19/1789,0.18/1830,0.15/1164,0.22/1828,0.15/1518,0.27/1496,0.1/1259,0.14/1737,0.25/1925
