Fecha,IdVehiculo,IdModelo,IdCliente,Estado,Year,Precio
2020-05-21,1,5,3242,Nuevo,2020,22641
2015-07-18,2,17,2595,Segunda-Mano,2012,21647
2023-05-12,3,4,1651,Nuevo,2023,30176
2021-10-18,4,5,25999,segunda mano,2011,18517
2018-04-12,5,12,17312,Segunda-Mano,2015,29324
2015-10-28,6,11,13232,segunda mano,2005,21535
2023-02-18,7,3,28984,Nuevo,2023,41274
2018-12-08,8,10,27661,Segunda Mano,2011,27793
2023-12-03,9,9,5058,Segunda-Mano,2015,23690
2019-04-23,10,3,16080,Segunda/Mano,2013,32451
2023-05-10,11,8,24772,Segunda-Mano,2022,24719
2022-06-28,12,4,25004,Segunda\Mano,2020,27455
2015-01-25,13,9,14617,Segunda/Mano,2001,32042
2021-07-02,14,16,14940,Segunda-Mano,2006,14719
2023-10-27,15,8,8773,segunda mano,2013,31830
2019-02-07,16,11,22364,Segunda/Mano,2017,21205
2022-10-29,17,9,2893,Nuevo,2022,45739
2017-06-23,18,13,6324,Segunda Mano,2010,32553
2020-06-27,19,7,17964,segunda mano,2019,28390
2023-11-24,20,7,9467,Segunda/Mano,2011,21455
2023-06-09,21,19,22245,Segunda Mano,2010,13457
2021-04-11,22,7,6382,Segunda Mano,2009,24011
2022-12-28,23,14,28567,Segunda/Mano,2021,31033
2023-01-21,24,7,2364,Segunda\Mano,2018,27253
2019-10-04,25,20,8995,Segunda\Mano,2005,24487
2019-06-14,26,17,22098,Segunda-Mano,2015,14528
2019-11-07,27,12,21775,Segunda\Mano,2013,33489
2015-12-13,28,10,2920,Nuevo,2015,37763
2020-11-12,29,13,20459,Nuevo,2020,53551
2019-09-02,30,4,26916,Segunda-Mano,2013,22874
2022-03-12,31,9,1818,Nuevo,2022,56194
2019-03-21,32,9,10198,Nuevo,2019,47238
2018-01-03,33,11,26145,Segunda-Mano,2007,18166
2019-09-13,34,15,10788,Segunda-Mano,2006,15287
2017-07-17,35,3,20306,segunda mano,2014,31733
2015-10-17,36,6,19009,Segunda Mano,2008,25944
2022-02-20,37,11,17829,Nuevo,2022,35729
2019-10-09,38,12,8629,Segunda Mano,2007,25747
2022-12-01,39,12,8958,Segunda-Mano,2020,32275
2020-05-19,40,4,645,Segunda\Mano,2006,18124
2020-09-05,41,9,10791,Segunda/Mano,2011,25022
2019-12-12,42,11,8905,Nuevo,2019,38676
2019-02-12,43,18,13273,Segunda-Mano,2006,20864
2022-04-25,44,6,7488,Nuevo,2022,38154
2023-12-15,45,16,12938,segunda mano,2012,23495
2022-04-12,46,16,23578,segunda mano,2009,20426
2020-12-19,47,7,9308,Segunda\Mano,2015,20417
2020-11-09,48,14,12841,segunda mano,2011,18534
2020-05-06,49,1,23892,Segunda-Mano,2019,22846
2015-04-19,50,7,9620,segunda mano,2012,33594
2018-03-22,51,11,17951,Segunda/Mano,2008,24289
2015-07-12,52,14,8053,Segunda\Mano,2014,33350
2021-02-24,53,6,20473,Segunda\Mano,2013,18834
2019-11-14,54,9,18735,Segunda-Mano,2012,31230
2020-05-08,55,7,12335,segunda mano,2005,21682
2021-11-05,56,10,3095,segunda mano,2007,20480
2021-04-24,57,11,21039,Segunda/Mano,2006,18831
2022-10-22,58,8,11478,Segunda Mano,2009,22813
2016-08-25,59,4,7622,Segunda-Mano,2014,26982
2016-04-22,60,14,8325,Segunda-Mano,2010,20115
2016-07-21,61,12,13716,Segunda/Mano,2002,26587
2021-01-23,62,12,29923,Segunda\Mano,2018,38836
2020-03-09,63,8,16841,Segunda/Mano,2018,36316
2017-05-07,64,7,27160,Segunda\Mano,2003,27615
2021-04-21,65,16,25837,Nuevo,2021,36658
2017-01-13,66,4,22850,Segunda\Mano,2004,17415
2023-01-25,67,12,16995,Segunda-Mano,2016,39245
2023-05-01,68,14,10663,segunda mano,2019,24142
2018-07-24,69,13,10635,Nuevo,2018,66559
2017-04-22,70,10,8056,Segunda Mano,2015,27719
2017-11-22,71,9,11018,Nuevo,2017,51635
2019-07-18,72,14,5709,Segunda Mano,2004,16022
2021-02-05,73,13,24925,segunda mano,2008,32673
2019-10-28,74,16,21425,Segunda Mano,2014,25592
2018-03-21,75,6,11857,Segunda Mano,2016,26926
2023-09-28,76,20,29428,Segunda-Mano,2009,15357
2017-09-19,77,17,11043,Segunda\Mano,2008,17565
2019-03-21,78,13,15302,segunda mano,2009,26898
2019-09-15,79,15,27111,segunda mano,2009,16762
2019-08-22,80,6,15256,Nuevo,2019,31444
2018-12-10,81,5,12738,segunda mano,2016,15288
2016-12-17,82,9,3366,Segunda\Mano,2010,34080
2016-05-01,83,10,10000,Segunda\Mano,2002,24355
2015-11-20,84,14,23773,segunda mano,2009,20980
2022-08-02,85,11,18645,Segunda-Mano,2019,29654
2015-12-09,86,11,11387,Segunda Mano,2007,23361
2021-03-12,87,11,5693,Segunda-Mano,2006,21313
2021-08-24,88,9,3431,Segunda Mano,2006,33355
2017-03-30,89,18,8907,Segunda\Mano,2008,26026
2017-03-29,90,15,11147,Segunda-Mano,2011,16965
2023-07-06,91,20,1319,Nuevo,2023,39380
2015-05-20,92,8,15464,Segunda Mano,2009,25208
2022-03-02,93,8,28515,Segunda\Mano,2013,28909
2022-01-03,94,6,7267,Segunda/Mano,2018,26473
2022-01-15,95,3,21030,Nuevo,2022,33351
2017-12-13,96,16,29732,segunda mano,2015,22564
2019-03-13,97,13,20303,Segunda\Mano,2006,31644
2016-11-02,98,8,23294,Segunda Mano,2010,34919
2021-07-05,99,6,20510,Segunda/Mano,2015,24269
2020-01-09,100,15,23185,Segunda Mano,2014,17933
2023-11-19,101,17,5216,Nuevo,2023,30868
2018-01-18,102,10,5259,Nuevo,2018,44471
2022-12-15,103,16,10548,Nuevo,2022,37206
2017-06-16,104,11,19699,Nuevo,2017,41105
2023-11-15,105,12,9278,Segunda/Mano,2012,29973
2021-12-24,106,10,26541,Nuevo,2021,42004
2015-01-09,107,6,19823,segunda mano,2012,23199
2021-08-11,108,4,27179,Nuevo,2021,33129
2018-05-04,109,13,24391,Nuevo,2018,49814
2016-10-18,110,14,797,Segunda Mano,2006,17823
2017-09-30,111,20,1185,Nuevo,2017,46175
2019-03-12,112,11,20826,Segunda-Mano,2006,19634
2016-12-14,113,7,260,segunda mano,2006,26841
2020-04-18,114,11,6415,Segunda-Mano,2010,18245
2022-07-03,115,14,6690,Nuevo,2022,31758
2019-02-19,116,3,7722,Segunda/Mano,2004,18025
2021-04-10,117,5,8950,Nuevo,2021,24362
2017-04-14,118,20,25883,Segunda/Mano,2012,26729
2023-10-01,119,7,14537,Segunda-Mano,2011,25191
2021-02-23,120,10,20233,segunda mano,2009,25511
2021-10-30,121,8,18606,Segunda/Mano,2012,31184
2022-01-30,122,12,11325,Segunda-Mano,2008,19447
2023-04-20,123,7,20041,segunda mano,2021,32013
2023-09-18,124,7,29069,Segunda/Mano,2008,17648
2015-12-21,125,7,20924,Segunda\Mano,2013,23101
2023-06-28,126,9,21607,Segunda/Mano,2010,27845
2021-07-20,127,4,9106,Segunda Mano,2012,18568
2021-04-06,128,11,2633,Segunda Mano,2018,28037
2022-02-02,129,11,7522,Segunda/Mano,2021,22379
2017-09-18,130,8,18179,Segunda/Mano,2012,34863
2023-11-14,131,5,1099,Nuevo,2023,28459
2021-11-05,132,16,615,Nuevo,2021,30983
2023-08-20,133,9,29182,Segunda/Mano,2013,37768
2015-08-14,134,8,25107,Nuevo,2015,40534
2019-11-24,135,14,17191,Segunda/Mano,2010,15565
2019-01-14,136,19,14638,Segunda/Mano,2012,16769
2023-02-14,137,18,15506,Segunda\Mano,2021,35680
2021-01-17,138,8,20626,Segunda/Mano,2010,25635
2017-03-25,139,4,20234,Nuevo,2017,39323
2020-03-25,140,10,14666,segunda mano,2014,32450
2020-08-01,141,9,24135,Segunda Mano,2012,34563
2017-10-26,142,10,28302,Nuevo,2017,35266
2020-10-09,143,18,26469,Nuevo,2020,32462
2015-02-08,144,8,521,Nuevo,2015,44187
2016-09-29,145,16,5717,Segunda-Mano,2006,18656
2016-03-28,146,9,4051,Segunda/Mano,2015,39604
2015-07-22,147,14,13870,Segunda\Mano,2005,16546
2022-08-01,148,11,617,Segunda-Mano,2007,15314
2018-01-24,149,10,9386,Nuevo,2018,36001
2023-03-19,150,18,15840,Segunda/Mano,2010,19208
2019-09-02,151,12,7355,Segunda\Mano,2014,31920
2017-08-29,152,4,6930,Nuevo,2017,38225
2022-10-04,153,18,2868,Segunda Mano,2012,22406
2021-02-23,154,11,17993,Nuevo,2021,33642
2019-10-24,155,10,27043,Nuevo,2019,44713
2016-10-23,156,7,12814,Nuevo,2016,33180
2019-01-24,157,6,17516,Segunda/Mano,2018,39778
2017-09-17,158,14,2748,Segunda Mano,2011,22761
2016-08-08,159,12,7802,segunda mano,2008,26701
2019-12-07,160,9,25558,Segunda/Mano,2012,24247
2019-04-22,161,4,7783,Nuevo,2019,29061
2020-11-26,162,14,6324,Nuevo,2020,35898
2021-10-06,163,9,8953,segunda mano,2016,32422
2022-03-13,164,11,8377,Nuevo,2022,33649
2018-04-12,165,4,7157,Nuevo,2018,34086
2016-03-26,166,16,11661,Segunda/Mano,2005,21154
2018-09-05,167,12,2489,Segunda\Mano,2005,23703
2021-12-24,168,13,290,Segunda/Mano,2019,47539
2016-11-27,169,7,352,Segunda Mano,2005,17051
2017-10-31,170,10,28301,Segunda/Mano,2008,24540
2021-01-28,171,11,22333,segunda mano,2006,14333
2019-09-16,172,2,16616,Segunda Mano,2016,25838
2016-09-22,173,7,15004,Segunda/Mano,2002,23537
2022-02-18,174,13,23810,Nuevo,2022,66417
2015-06-15,175,12,8557,Segunda-Mano,2006,27830
2016-02-06,176,4,24778,Nuevo,2016,33951
2019-09-09,177,17,25705,segunda mano,2014,15233
2022-08-23,178,10,7103,Segunda-Mano,2019,28457
2016-11-10,179,4,1580,Segunda\Mano,2015,25428
2018-05-14,180,17,3906,Nuevo,2018,30132
2020-06-16,181,15,23709,Segunda Mano,2013,13083
2019-08-04,182,11,25243,Segunda\Mano,2005,16634
2022-07-16,183,10,8572,Nuevo,2022,37605
2021-11-01,184,9,27426,Segunda Mano,2006,18860
2020-08-26,185,19,7650,segunda mano,2013,21112
2016-01-14,186,19,16624,Segunda\Mano,2014,17297
2021-01-13,187,16,2857,segunda mano,2009,23170
2017-02-10,188,11,14419,Nuevo,2017,36664
2019-02-19,189,4,7016,Nuevo,2019,31250
2020-05-08,190,6,21017,Segunda/Mano,2018,23342
2022-06-14,191,12,8809,Segunda Mano,2014,21624
2022-01-12,192,11,26267,Segunda\Mano,2010,16880
2023-02-24,193,14,27546,Segunda\Mano,2021,20679
2019-09-23,194,12,5145,Nuevo,2019,50258
2022-06-19,195,12,14829,Nuevo,2022,50400
2018-09-07,196,10,21597,Nuevo,2018,49748
2016-12-28,197,8,25884,Segunda Mano,2015,29887
2023-08-14,198,17,6174,Segunda/Mano,2009,10874
2017-08-05,199,15,20020,Segunda Mano,2012,16126
2019-11-02,200,7,20781,Nuevo,2019,40223
2022-08-10,201,11,6632,Segunda\Mano,2009,14028
2021-06-09,202,12,5350,Segunda\Mano,2012,25838
2019-11-08,203,10,12074,Segunda/Mano,2012,19860
2020-07-26,204,4,18911,Segunda Mano,2018,28186
2018-07-11,205,12,28259,Segunda/Mano,2003,18864
2021-09-12,206,6,12740,segunda mano,2007,25203
2018-10-12,207,1,20281,Segunda Mano,2017,17649
2018-01-09,208,7,22772,Nuevo,2018,36629
2020-02-21,209,6,12966,Nuevo,2020,36321
2023-12-05,210,15,26283,Nuevo,2023,24638
2021-02-05,211,2,788,segunda mano,2009,22711
2018-08-17,212,3,7676,Segunda-Mano,2006,18226
